見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,企画展「なつやすみの美術館10 あまたの先日ひしめいて今日」,展示,?8月30日（日）,,,,,,
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,コレクション展2020-夏 特集「浜口陽三」,展示,?9月6日（日）,,,,,,
県立博物館,073-436-8670,073-436-6643,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,休館／月曜 （祝日の場合次の平日） ,夏休み企画展「生誕200年記念 稲むらの火 濱口梧陵」,展示,?8月23日（日）,,,,,,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）,特別展「大集合!はたらくナマコのワンダーランド」,展示,?8月30日（日）,,,,,,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）,キノコや粘菌をさがしてみよう！(2),イベント,9月13日（日）,根来山げんきの森（岩出市）,小学生以上（小学生は保護者同伴）,30人（抽選）,,8月30日まで,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,学芸員講座「熊野(4)」,イベント,9月6日（日）13:30?15:00,,小学生以上,15人（先着順）,,8月21日13:00?,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,学芸員講座「岩橋千塚(14)」,イベント,9月13日（日）13:30?15:30,,小学生以上,15人（先着順）,,8月28日13:00?,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,フトシ先生と観る風土記の植物(2),イベント,9月19日（土）13:30?15:30,,小学生以上,15人（先着順）,,9月4日13:00?,
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜・水曜（8月中のみ）,,,,,,,,,8月の花ごよみ ダリア、ハイビスカス、アメリカフヨウ、ブルーサルビア、イッサイサルスベリ
南紀熊野ジオパークセンター,0735-67-7100,0735-67-7191,〒649-3502串本町潮岬2838-3,9:00～17:00 ,,ジオパークツアー,イベント,8月22日（土）?30日（日）,,,,,事前申込,
南紀熊野ジオパークセンター,0735-67-7100,0735-67-7191,〒649-3502串本町潮岬2838-3,9:00～17:00 ,,とっても小さな貝を探してみよう,イベント,8月22日（土）・23日（日）13:00?15:00,,小学生程度,,,,
南紀熊野ジオパークセンター,0735-67-7100,0735-67-7191,〒649-3502串本町潮岬2838-3,9:00～17:00 ,,ジオの絵本読み聞かせ,イベント,8月29日（土）10:00?11:00,,小学生以下,,,,
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで） ,,,,,,,,,,万葉の小路（こみち）のご紹介和歌の浦を詠んだ万葉歌碑5基が、公園内「万葉の小路」にあります。万葉館から徒歩10分。潮風に吹かれながら、歴史散歩に訪れてみてはいかがですか。※マスク着用のご協力をお願いします。
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,9:00?19:00（土日祝は18:00まで）,月曜（祝日の場合次の平日）　毎月第2木曜 ,エントランスコンサート,イベント,9月4日（金）12:00?12:30,,,100人程度（先着順）,,,
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,9:00?19:00（土日祝は18:00まで）,月曜（祝日の場合次の平日）　毎月第2木曜,南葵（なんき）音楽文庫アカデミー 秋,イベント,(1)金曜カレッジ 9月11日（金）14:00?16:00(2)土曜カレッジ 9月12日（土）13:30?15:30(3)日曜カレッジ 9月13日（日）10:00?12:00,(1)(3)県立図書館(2)橋本市教育文化会館,,各60人（先着順）,,8月12日?,
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,10:00～17:00 ,火曜 ,犬・猫の飼い方講習会,イベント,8月1日（土）・9日（日）・15日（土）・23日（日）・27日（木）、9月5日（土）・13日（日）・19日（土）・25日（金）11:00?,,,,,,"※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,700円が必要です。※県動物愛護センターでは譲渡会を常時開催しています。"
